Key,Description,Standard,ES
SAY.Flowchart.16.Heathcliff,,Yeah. No problem.,No hay de qué.
SAY.Flowchart.32.Heathcliff,,"Now make room, scoot.","Ahora haceme lugar, movete pa’ allá."
SAY.Flowchart.24.Yi Sang,,"Heh, but you have the whole field.","Je, pero tienes todo el campo para sentarte."
SAY.Flowchart.25.Narrator,,"He abruptly sat next to me, chugging down his drink.","Se sentó abruptamente a mi costado, tomando su bebida."
SAY.Flowchart.31.Yi Sang,,Sigh...,Hahh…
SAY.Flowchart.23.Narrator,,A small moment of peace in between the practice and races...,Un pequeño momento de paz entre las carreras y el entrenamiento…
SAY.Flowchart.27.Narrator,,And such pleasant weather too…,Y también hace un clima muy agradable…
SAY.Flowchart.28.Narrator,,It's very appreciated.,Lo aprecio mucho.
SAY.Flowchart.26.Narrator,,"Even if it is nothing but a virtual simulation, a fake image, I wish I could run in this field all day.","Incluso si no es más que una simulación virtual, una imagen falsa, quisiera correr en este campo todo el día…"
SAY.Flowchart.35.Narrator,,...,...
SAY.Flowchart.29.Narrator,,"But, ultimately, this is practice. I must not waste any more energy for my leisure.","Pero, al fin y al cabo, esto es un entrenamiento. No he de gastar más energía en ocio."
SAY.Flowchart.52.Yi Sang,,Heathcliff.,Heathcliff.
SAY.Flowchart.34.Heathcliff,,Hmm?,¿Mh?
SAY.Flowchart.8.Yi Sang,,Are you watching my recording? May I see as well?,¿Estás viendo mi grabación? ¿Puedo verla también?
SAY.Flowchart.48.Heathcliff,,"Oh! Uh, yeah… ‘ere.","¡Ah! Eh, sí… Tomá."
SAY.Flowchart.30.Narrator,,"Heathcliff handed me the screen before getting up to stretch, getting ready for another run.","Heathcliff me entrega la grabación antes de levantarse a elongar, preparándose para la próxima carrera."
SAY.Flowchart.36.Narrator,,I’ve watched these videos many times before.,He visto estos videos múltiples veces antes.
SAY.Flowchart.37.Narrator,,"Yet, I can't help feeling nervous when I press play.","Sin embargo, no puedo evitar sentirme nervioso al reproducirlos."
SAY.Flowchart.38.Narrator,,...,...
SAY.Flowchart.39.Narrator,,So… This is what I’ve become.,Conque… Esto es en lo que me he convertido.
SAY.Flowchart.40.Narrator,,This is how I look to the others.,Conque así es como me veo a los ojos de los demás.
SAY.Flowchart.44.Narrator,,Such a weak physique.\n,Qué físico tan débil.\n
SAY.Flowchart.42.Narrator,,What a poor form.\n,Qué técnica tan paupérrima.\n
SAY.Flowchart.43.Narrator,,A stumbling fool.,Un estulto que no hace más que tropezar.
SAY.Flowchart.41.Narrator,,Could you even consider this a racehorse?,¿Siquiera se le podría considerar un caballo de carreras?
SAY.Flowchart.45.Narrator,,Four minutes and a half was the best I could do.,Cuatro minutos y medio fue lo mejor que pude lograr.
SAY.Flowchart.46.Narrator,,It's not nearly enough to reach a proper level of performance.,No está ni cerca de ser suficiente como para alcanzar un nivel de rendimiento digno.
SAY.Flowchart.49.Narrator,,"I can't help but feel that after all the time I've spent running for this company, after all the races I've run alongside my colleagues, I've been nothing but a burden.
","No puedo evitar sentir que luego de todo el tiempo que estuve corriendo para esta compañía, luego de todas las carreras que he corrido junto a mis compañeros, no he sido más que una carga."
SAY.Flowchart.33.Yi Sang,,...,...
SAY.Flowchart.55.Heathcliff,,Yi Sang? Where ya off to now? Don’t tell me yer takin’ a cheat day.,¿Yi Sang? ¿A dónde te vas ahora? No me digas que te estás tomando el día libre.
SAY.Flowchart.47.Narrator,,I do not deserve this moment of calm.\n,No merezco este momento de tranquilidad.\n
SAY.Flowchart.51.Narrator,,I do not deserve this water.\n,No merezco esta agua.\n
SAY.Flowchart.50.Narrator,,I do not deserve his help.,No merezco su ayuda.
SAY.Flowchart.105.Yi Sang,,Hmm…,Hmm...
SAY.Flowchart.53.Yi Sang,,There is something I must discuss with the manager.,Hay un asunto que me gustaría discutir con el gerente.
SAY.Flowchart.56.Yi Sang,,"Excuse me, I must take my leave now.
","Disculpame, debo retirarme."
SAY.Flowchart.57.Heathcliff,,"Ahh… Well, if you're meeting with Clockhead I ain’t gonna stop ya.","Ahh… bue, si vas a ver al Relojete no te voy a frenar."
SAY.Flowchart.58.Yi Sang,,"My apologies, for making you come out all this way only for me to cut our session short. Your help is very much appreciated.",Mis disculpas por hacerte venir hasta aquí solo para que me retire antes del fin de nuestra sesión. Tu apoyo realmente se aprecia.
SAY.Flowchart.21.Heathcliff,,"It‘s fine. I like it out here anyway, so I think I’ll stay out here for a little while longer.
","Tranqui. Igual me gusta estar acá afuera, así que capaz me quedo un rato más."
SAY.Flowchart.60.Yi Sang,,I shall see you next time then.,He de verte la próxima entonces.
SAY.Flowchart.54.Yi Sang,,"Manager, A moment of your time, if you will.","Gerente, permítanme un segundo de su tiempo, si fuera tan amable…"
SAY.Flowchart.62.Yi Sang,,There is a track I would like you to open for me.,Hay un circuito que me gustaría que abriera para mí.
CHARACTER.Demian,,Demian,Demian
CHARACTER.Faust,,Faust,Faust
CHARACTER.Ideal,,Ideal,Ideal
CHARACTER.Dante,,Dante,Dante
CHARACTER.Gregor,,Gregor,Gregor
CHARACTER.Heathcliff,,Heathcliff,Heathcliff
CHARACTER.Narrator,,Narrator,Narrator
CHARACTER.Yi Sang,,Yi Sang,Yi Sang
